lat,lon,radiance,bortle
33.07,130.54,6.4358,6
33.07,130.55,2.8923,5
33.07,130.56,1.0779,4
33.07,130.57,0.7841,3
33.07,130.58,0.7193,3
33.07,130.61,0.6618,3
33.07,130.62,0.8859,3
33.07,130.63,0.6828,3
33.07,130.69,0.7756,3
33.07,130.7,0.7459,3
33.08,125.98,2.9855,5
33.08,126.1,4.4974,5
33.08,126.11,4.6773,5
33.08,126.12,13.1343,7
33.08,126.13,4.8536,5
33.08,126.14,4.5904,5
33.08,126.15,9.6794,6
33.08,126.25,3.9921,5
33.08,129.67,0.7064,3
33.08,129.7,1.0853,4
33.08,129.71,4.0946,5
33.08,129.72,16.2222,7
33.08,129.73,1.9303,4
33.08,129.74,1.2326,4
33.08,129.75,1.2026,4
33.08,129.76,1.3884,4
33.08,129.77,1.4151,4
33.08,129.78,5.8856,6
33.08,129.79,3.4008,5
33.08,129.8,1.8748,4
33.08,129.81,1.9223,4
33.08,129.82,2.0622,4
33.08,129.83,1.2817,4
33.08,129.84,0.9663,3
33.08,129.85,0.8994,3
33.08,129.86,0.9676,3
33.08,129.87,1.4934,4
33.08,129.88,1.1836,4
33.08,129.96,0.6665,3
33.08,129.97,0.7953,3
33.08,129.98,0.9164,3
33.08,129.99,0.8763,3
33.08,130.0,0.6461,3
33.08,130.01,0.6595,3
33.08,130.02,1.0873,4
33.08,130.03,0.8086,3
33.08,130.08,0.593,3
33.08,130.1,0.7517,3
33.08,130.11,2.7474,5
33.08,130.12,0.9169,3
33.08,130.13,0.8425,3
33.08,130.14,1.5573,4
33.08,130.15,1.1431,4
33.08,130.42,0.9571,3
33.08,130.43,2.9454,5
33.08,130.44,4.1065,5
33.08,130.45,1.9288,4
33.08,130.46,1.8117,4
33.08,130.47,2.0933,4
33.08,130.48,1.9051,4
33.08,130.49,1.3347,4
33.08,130.5,0.9786,3
33.08,130.51,0.9513,3
33.08,130.52,0.912,3
33.08,130.53,1.5835,4
33.08,130.54,1.567,4
33.08,130.55,1.0589,4
33.08,130.56,0.6962,3
33.08,130.6,0.6014,3
33.08,130.62,0.5155,3
33.08,130.69,0.7615,3
33.08,130.7,0.675,3
33.09,125.85,0.695,3
33.09,125.96,1.6302,4
33.09,125.98,4.6629,5
33.09,125.99,2.2282,4
33.09,126.0,8.8098,6
33.09,126.01,12.1671,7
33.09,126.09,14.3324,7
33.09,126.1,15.8664,7
33.09,126.11,14.6447,7
33.09,126.12,16.31,7
33.09,126.13,18.3876,7
33.09,126.14,12.8036,7
33.09,126.16,12.2669,7
33.09,126.17,24.0138,7
33.09,126.18,9.3998,6
33.09,126.2,8.8703,6
33.09,126.21,6.557,6
33.09,126.3,2.7103,5
33.09,126.31,1.1234,4
33.09,129.7,1.065,4
33.09,129.71,1.5658,4
33.09,129.72,1.0475,4
33.09,129.73,0.8904,3
33.09,129.74,0.7923,3
33.09,129.75,0.794,3
33.09,129.76,1.079,4
33.09,129.77,0.9687,3
33.09,129.78,1.9392,4
33.09,129.79,8.5043,6
33.09,129.8,4.9289,5
33.09,129.81,2.6242,5
33.09,129.82,1.7471,4
33.09,129.83,1.0435,4
33.09,129.97,0.8766,3
33.09,129.98,3.5838,5
33.09,129.99,2.3393,4
33.09,130.0,1.4256,4
33.09,130.01,1.2768,4
33.09,130.02,1.1495,4
33.09,130.03,0.9866,3
33.09,130.04,0.7147,3
33.09,130.05,0.6834,3
33.09,130.07,0.877,3
33.09,130.08,0.78,3
33.09,130.09,1.8986,4
33.09,130.1,2.0844,4
33.09,130.11,2.8079,5
33.09,130.12,2.9388,5
33.09,130.13,2.7918,5
33.09,130.14,1.1017,4
33.09,130.41,0.9269,3
33.09,130.42,1.1845,4
33.09,130.43,1.2117,4
33.09,130.44,1.2425,4
33.09,130.45,2.1957,4
33.09,130.46,3.0747,5
33.09,130.47,1.5037,4
33.09,130.48,1.2428,4
33.09,130.53,0.7143,3
33.09,130.54,1.0661,4
33.09,130.55,0.765,3
33.09,130.69,0.6372,3
33.09,130.7,0.8765,3
33.1,125.85,1.708,4
33.1,125.87,0.8358,3
33.1,125.93,4.0264,5
33.1,125.96,7.4245,6
33.1,125.98,8.8347,6
33.1,125.99,8.4815,6
33.1,126.0,2.5569,5
33.1,126.01,3.8775,5
33.1,126.04,8.0719,6
33.1,126.05,4.5315,5
33.1,126.06,20.1051,7
33.1,126.07,10.9518,7
33.1,126.08,9.2283,6
33.1,126.09,7.9621,6
33.1,126.1,17.8002,7
33.1,126.11,8.7587,6
33.1,126.12,15.413,7
33.1,126.13,12.9303,7
33.1,126.14,9.5476,6
33.1,126.15,11.9768,7
33.1,126.16,12.5117,7
33.1,126.18,4.4402,5
33.1,126.2,9.706,6
33.1,126.21,2.1916,4
33.1,126.3,2.5461,5
33.1,126.31,1.1392,4
33.1,126.55,1.6768,4
33.1,126.56,1.8136,4
33.1,129.73,1.0921,4
33.1,129.74,1.6471,4
33.1,129.75,2.8398,5
33.1,129.76,1.678,4
33.1,129.77,1.8472,4
33.1,129.78,1.6011,4
33.1,129.79,6.6074,6
33.1,129.8,2.4961,4
33.1,129.81,1.2595,4
33.1,129.82,4.3468,5
33.1,129.83,1.4645,4
33.1,129.87,0.8379,3
33.1,129.88,0.6838,3
33.1,129.97,0.9494,3
33.1,129.98,4.3624,5
33.1,129.99,9.0549,6
33.1,130.0,6.3017,6
33.1,130.01,1.8196,4
33.1,130.02,1.1744,4
33.1,130.08,1.1553,4
33.1,130.09,2.5508,5
33.1,130.1,3.3046,5
33.1,130.11,3.6468,5
33.1,130.12,2.0916,4
33.1,130.13,1.2238,4
33.1,130.14,1.0579,4
33.1,130.15,0.7062,3
33.1,130.42,1.033,4
33.1,130.43,1.2082,4
33.1,130.44,1.2397,4
33.1,130.45,1.598,4
33.1,130.46,3.695,5
33.1,130.47,1.3613,4
33.1,130.48,1.1419,4
33.1,130.49,0.9375,3
33.1,130.52,0.7373,3
33.1,130.53,0.852,3
33.1,130.54,0.9056,3
33.1,130.69,0.5782,3
33.1,130.7,0.8023,3
33.11,125.85,0.7403,3
33.11,125.9,1.5531,4
33.11,126.03,7.4295,6
33.11,126.04,9.4046,6
33.11,126.05,18.0637,7
33.11,126.06,9.2375,6
33.11,126.07,9.1863,6
33.11,126.08,13.0287,7
33.11,126.09,15.6751,7
33.11,126.1,12.1436,7
33.11,126.11,14.5774,7
33.11,126.12,7.7419,6
33.11,126.13,15.1324,7
33.11,126.14,9.1735,6
33.11,126.18,3.6663,5
33.11,126.48,1.3131,4
33.11,126.54,4.3003,5
33.11,126.55,3.0258,5
33.11,126.56,2.4417,4
33.11,126.57,1.3695,4
33.11,126.77,1.3143,4
33.11,129.7,0.801,3
33.11,129.71,1.1655,4
33.11,129.72,1.0892,4
33.11,129.73,1.0599,4
33.11,129.74,1.3087,4
33.11,129.75,1.098,4
33.11,129.76,1.0656,4
33.11,129.77,1.7588,4
33.11,129.78,1.5856,4
33.11,129.79,3.0478,5
33.11,129.8,2.2212,4
33.11,129.81,1.1868,4
33.11,129.82,1.5132,4
33.11,129.83,1.0429,4
33.11,129.86,0.7928,3
33.11,129.87,1.2813,4
33.11,129.88,0.8561,3
33.11,129.89,0.7072,3
33.11,129.96,0.599,3
33.11,129.97,1.7198,4
33.11,129.98,3.1407,5
33.11,129.99,3.5152,5
33.11,130.0,12.8492,7
33.11,130.01,4.3343,5
33.11,130.02,1.0239,4
33.11,130.03,0.7624,3
33.11,130.04,0.6634,3
33.11,130.08,1.0053,4
33.11,130.09,5.6742,6
33.11,130.1,6.3677,6
33.11,130.11,1.9673,4
33.11,130.12,1.2941,4
33.11,130.13,1.0213,4
33.11,130.39,0.731,3
33.11,130.4,1.549,4
33.11,130.41,1.0124,4
33.11,130.42,1.2043,4
33.11,130.43,2.6412,5
33.11,130.44,2.1241,4
33.11,130.45,2.3786,4
33.11,130.46,2.745,5
33.11,130.47,2.3019,4
33.11,130.48,1.3751,4
33.11,130.49,1.004,4
33.11,130.52,0.8864,3
33.11,130.53,1.7934,4
33.11,130.54,0.8804,3
33.11,130.65,0.6363,3
33.11,130.66,0.697,3
33.11,130.67,1.1265,4
33.11,130.68,1.2298,4
33.11,130.69,2.0607,4
33.11,130.7,1.3648,4
33.12,125.97,2.2201,4
33.12,125.98,5.6911,6
33.12,126.01,5.2809,6
33.12,126.03,9.737,6
33.12,126.04,19.1098,7
33.12,126.07,10.1339,7
33.12,126.08,6.0829,6
33.12,126.09,16.7198,7
33.12,126.11,18.5439,7
33.12,126.12,14.4311,7
33.12,126.13,7.659,6
33.12,126.17,11.6625,7
33.12,126.48,1.5298,4
33.12,126.49,1.8111,4
33.12,126.51,1.0627,4
33.12,126.59,1.2673,4
